participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
6a04411878c03cd53d01bc3d,ai,2026-07-17T14:00:20.970123+00:00,True,35,['Man'],Accountant,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,71.0,C,0,83.0,D,0,74.0,D,1,72.0,B,0,80.0,D,1,73.0,B,0,68.0,B,0,78.0,D,0,79.0,C,1,75.0,B,0,80.0,B,0,72.0,3,75.42,-2.78,80.0,1.25,6.17,2.33,3.25,1,1,1,15,8,6,10,12,4,12
5f6f3b4884cdf34934e9db6f,ai,2026-07-17T14:04:56.483417+00:00,True,47,['Woman'],credit controller,Native English speaker,Vocational college degree,About once a day,B,0,97.0,D,1,93.0,C,0,92.0,C,0,86.0,D,0,84.0,D,1,84.0,C,0,86.0,C,1,89.0,D,0,87.0,B,0,92.0,B,0,97.0,B,0,64.0,3,87.58,1.44,75.0,1.62,8.5,3.0,3.88,1,1,1,29,12,2,12,12,2,10
6710a58eeff954cb2243950e,ai,2026-07-17T14:13:38.469030+00:00,True,55,['Woman'],Project Management,Fully fluent,Higher tertiary education degree (Master's level),Several times a day,C,1,85.0,C,0,60.0,B,0,92.0,A,0,97.0,B,0,98.0,A,0,97.0,A,1,76.0,B,0,98.0,A,0,69.0,A,0,91.0,C,0,97.0,A,0,99.0,2,88.25,-9.3,97.5,2.75,9.67,4.83,4.88,1,1,1,14,11,7,10,10,6,5
6a1589d7aa43b48061cf738a,ai,2026-07-17T14:19:04.500825+00:00,True,30,['Man'],Environmental Consultant,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,73.0,C,0,75.0,B,0,67.0,C,0,66.0,B,0,70.0,A,0,74.0,D,0,77.0,A,0,56.0,B,1,29.0,B,0,36.0,B,0,31.0,B,0,77.0,2,60.92,-11.9,57.5,-0.25,6.33,2.33,3.38,1,0,1,19,10,8,8,8,5,7
6a21b8ae2177f79a3833a3aa,ai,2026-07-17T14:21:20.551468+00:00,True,28,['Woman'],customer service,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,87.0,C,0,87.0,A,1,84.0,A,0,94.0,B,0,100.0,D,1,100.0,D,0,86.0,C,1,90.0,D,0,98.0,C,1,100.0,D,0,100.0,D,1,100.0,6,93.83,-0.67,75.0,1.62,11.17,3.67,3.25,1,1,1,25,10,7,9,11,1,1
59b19a277f6c84000151c001,ai,2026-07-17T14:29:20.844393+00:00,True,65,['Woman'],seamstress/supervisor,Native English speaker,Upper secondary school / High school,A few times a week,B,0,69.0,D,1,66.0,B,0,66.0,D,1,74.0,B,0,85.0,D,1,85.0,D,0,73.0,C,1,69.0,D,0,76.0,B,0,73.0,D,0,67.0,B,0,62.0,4,72.08,2.12,80.0,1.25,8.67,3.0,3.75,1,1,1,29,9,7,10,11,9,10
6a06e63d31c90ee68757b0d3,ai,2026-07-17T14:31:15.747044+00:00,True,57,['Woman'],Education,Native English speaker,Vocational college degree,Several times a day,B,0,86.0,B,0,81.0,B,0,97.0,B,0,98.0,B,0,99.0,D,1,97.0,B,0,97.0,C,1,78.0,D,0,96.0,C,1,98.0,B,0,97.0,C,0,86.0,3,92.5,-2.0,90.0,3.0,13.83,3.67,4.88,1,1,1,16,12,6,12,12,4,12
6a271c0daa928450f32c7507,ai,2026-07-17T14:36:52.512250+00:00,True,34,['Man'],carer counsellor,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,91.0,B,0,100.0,B,0,100.0,A,0,66.0,B,0,100.0,A,0,94.0,D,0,80.0,C,1,91.0,D,0,92.0,C,1,78.0,B,0,100.0,C,0,84.0,2,89.67,-6.2,97.5,1.12,16.83,2.67,4.75,1,1,1,16,12,10,12,10,4,10
65b9a002909e6b9bd3520066,ai,2026-07-17T14:36:54.224179+00:00,True,54,['Woman'],police staff,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,92.0,C,0,91.0,B,0,93.0,B,0,92.0,B,0,92.0,D,1,92.0,D,0,94.0,B,0,93.0,D,0,93.0,C,1,94.0,B,0,94.0,B,0,93.0,2,92.75,0.3,82.5,1.5,5.33,3.0,4.12,1,1,1,15,12,8,12,12,7,12
6a06fc17dd60a09eb3ac9bbd,ai,2026-07-17T14:43:48.857918+00:00,True,23,['Prefer not to disclose'],employed,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,86.0,A,0,95.0,C,0,85.0,B,0,52.0,B,0,84.0,D,1,83.0,B,0,84.0,A,0,87.0,D,0,100.0,C,1,80.0,B,0,89.0,A,0,90.0,2,84.58,-3.7,75.0,0.12,5.17,4.33,2.75,1,1,1,15,11,10,11,11,10,12
