participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
68123a73ba06c472ccd5edb8,alternatives,2026-08-14T12:24:02.976763+00:00,True,46,['Woman'],Food Entrepreneur,Native English speaker,Higher tertiary education degree (Master's level),About once a day,B,0,90.0,B,0,61.0,C,0,95.0,D,1,96.0,C,1,91.0,D,1,90.0,B,0,48.0,C,1,87.0,C,0,63.0,C,1,89.0,D,0,90.0,D,1,86.0,6,82.17,15.33,85.0,1.88,10.17,2.67,3.25,1,1,1,18,11,8,11,10,6,10
5fb281433a31c686f0ec3ecb,alternatives,2026-08-14T12:32:49.188015+00:00,True,50,['Man'],civil servant,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,87.0,C,0,60.0,C,0,81.0,A,0,21.0,C,1,28.0,D,1,73.0,D,0,66.0,C,1,32.0,A,0,24.0,A,0,13.0,C,0,23.0,A,0,15.0,3,43.58,1.0,60.0,-0.12,4.17,3.0,3.25,1,1,1,19,12,3,12,7,4,7
66e1961788c0c89fa75ecb42,alternatives,2026-08-14T13:11:14.584637+00:00,True,49,['Woman'],Theatre and tv and film access manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,43.0,C,0,51.0,B,0,47.0,B,0,59.0,B,0,46.0,B,0,31.0,B,0,57.0,C,1,38.0,D,0,47.0,C,1,49.0,C,0,44.0,B,0,34.0,2,45.5,-2.4,47.5,0.0,12.5,3.67,2.5,1,0,1,17,10,6,9,6,3,2
6a05ee899cecc3b8b6d7f6a9,alternatives,2026-08-14T13:22:42.312325+00:00,True,36,['Man'],Research fellow,Fully fluent,Doctoral degree,Several times a day,D,0,97.0,D,1,96.0,B,0,100.0,B,0,95.0,B,0,100.0,A,0,100.0,D,0,100.0,B,0,100.0,D,0,100.0,C,1,100.0,D,0,94.0,B,0,100.0,2,98.5,-0.6,62.5,0.62,16.17,4.17,3.88,1,1,1,61,12,10,11,12,6,8
6a09d6941d61d7f9899ff0ac,alternatives,2026-08-14T13:26:16.515122+00:00,True,30,['Non-binary'],Freelance Graphic Designer,Fully fluent,Lower tertiary education degree (Bachelor's level),About once a week,B,0,95.0,D,1,85.0,D,0,62.0,D,1,66.0,B,0,100.0,D,1,92.0,D,0,97.0,B,0,38.0,D,0,80.0,B,0,100.0,D,0,75.0,B,0,30.0,3,76.67,5.78,87.5,1.25,9.5,2.33,2.62,1,1,1,29,9,4,10,6,3,4
6a491aa7aaf10918bfb6954d,alternatives,2026-08-16T15:57:12.906772+00:00,True,24,['Man'],Data analyst,Fully fluent,Vocational college degree,About once a day,B,0,17.0,C,0,37.0,B,0,31.0,D,1,61.0,B,0,61.0,D,1,68.0,B,0,36.0,B,0,8.0,D,0,57.0,C,1,59.0,D,0,66.0,B,0,9.0,3,42.5,26.89,50.0,0.0,8.33,3.0,3.0,1,1,1,14,10,6,2,7,3,3
6a2be100ca70eb388aa5dee3,alternatives,2026-08-16T15:58:55.995468+00:00,True,24,['Woman'],Student,Native English speaker,Upper secondary school / High school,A few times a week,C,1,42.0,A,0,42.0,B,0,40.0,A,0,40.0,B,0,52.0,D,1,37.0,D,0,36.0,C,1,63.0,D,0,26.0,B,0,57.0,C,0,49.0,D,1,49.0,4,44.42,5.0,85.0,0.5,5.17,2.83,3.75,1,1,1,13,10,5,12,10,5,12
5f84e472052cf81ae5752252,alternatives,2026-08-16T16:13:27.051413+00:00,True,35,['Woman'],psychotherapist,Native English speaker,Higher tertiary education degree (Master's level),Less than once a month,B,0,63.0,C,0,30.0,B,0,33.0,B,0,32.0,B,0,67.0,D,1,77.0,B,0,66.0,D,0,13.0,D,0,21.0,B,0,68.0,D,0,64.0,B,0,40.0,1,47.83,31.82,47.5,-1.5,9.83,3.17,2.12,1,1,1,18,6,6,6,6,2,6
5fb3eee93064870009d4ed30,alternatives,2026-08-16T16:16:04.339142+00:00,True,68,['Woman'],Retired salesperson,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,49.0,C,0,40.0,B,0,100.0,D,1,99.0,B,0,100.0,D,1,100.0,D,0,100.0,C,1,99.0,C,0,100.0,C,1,100.0,B,0,100.0,B,0,0.0,5,82.25,12.26,95.0,1.25,7.5,3.5,4.5,1,1,1,31,10,2,6,8,0,6
629dd4199343d7710fcdb39c,alternatives,2026-08-16T16:19:37.884690+00:00,True,34,['Man'],Data analyst,Native English speaker,Higher tertiary education degree (Master's level),Never,C,1,34.0,D,1,63.0,B,0,62.0,B,0,57.0,B,0,100.0,A,0,74.0,D,0,91.0,D,0,86.0,D,0,73.0,C,1,83.0,B,0,83.0,B,0,100.0,3,75.5,-20.67,47.5,-0.75,10.83,4.5,1.25,1,1,1,16,6,6,2,6,4,7
5c5ff87f8c0552000109d7de,alternatives,2026-08-16T16:22:32.573358+00:00,True,33,['Woman'],Dispensary Assistant ,Native English speaker,Upper secondary school / High school,About once a day,B,0,13.0,C,0,11.0,B,0,17.0,D,1,49.0,B,0,97.0,D,1,77.0,D,0,50.0,C,1,72.0,D,0,47.0,B,0,18.0,B,0,0.0,B,0,47.0,3,41.5,32.67,47.5,-0.88,15.33,1.17,1.62,1,1,1,22,9,5,8,6,1,7
6a25b8b3be3afd2e1c895f96,alternatives,2026-08-16T16:22:45.508178+00:00,True,32,['Woman'],Account Manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,20.0,D,1,7.0,B,0,71.0,B,0,36.0,B,0,82.0,D,1,83.0,B,0,69.0,D,0,68.0,D,0,65.0,B,0,54.0,B,0,16.0,B,0,18.0,2,49.08,-4.9,15.0,-2.0,11.0,3.83,1.0,1,1,1,22,10,5,10,4,2,5
5f1f36c5321e4e10385f1ad8,alternatives,2026-08-16T16:42:58.367711+00:00,True,38,['Woman'],Teacher,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,C,1,13.0,C,0,19.0,C,0,65.0,A,0,14.0,B,0,78.0,D,1,80.0,B,0,65.0,D,0,22.0,A,0,12.0,C,1,8.0,C,0,24.0,D,1,36.0,4,36.33,-3.12,67.5,0.62,12.67,4.33,2.62,1,1,1,14,6,6,6,4,0,6
6a207b2c1a84a11c40e28dd0,alternatives,2026-08-16T16:44:37.659192+00:00,True,32,['Woman'],Fundraiser,Fully fluent,Higher tertiary education degree (Master's level),A few times a week,B,0,62.0,C,0,69.0,B,0,73.0,D,1,68.0,B,0,71.0,D,1,67.0,B,0,49.0,D,0,56.0,B,1,46.0,C,1,48.0,B,0,51.0,B,0,77.0,4,61.42,-6.25,45.0,0.0,11.33,2.83,3.5,1,1,1,17,10,8,10,8,4,8
659d52af923c07a8e1aac79a,alternatives,2026-08-16T16:53:33.077399+00:00,True,47,['Woman'],education,Native English speaker,Vocational college degree,Several times a day,D,0,46.0,C,0,52.0,A,1,53.0,C,0,50.0,D,0,55.0,B,0,42.0,D,0,61.0,C,1,57.0,A,0,52.0,A,0,47.0,C,0,49.0,B,0,48.0,2,51.0,4.8,55.0,3.0,17.5,3.0,4.38,1,1,1,13,12,6,12,6,0,12
63e8a4efd541d6d1d3f2bb89,alternatives,2026-08-16T17:05:59.281380+00:00,True,32,['Woman'],Stay at home mum,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,D,0,100.0,B,0,88.0,C,0,100.0,D,1,88.0,B,0,100.0,B,0,100.0,D,0,86.0,C,1,79.0,A,0,82.0,B,0,26.0,B,0,73.0,C,0,15.0,2,78.08,6.5,50.0,0.0,11.83,4.5,2.12,1,1,1,35,11,10,10,8,5,8
